"movieNm","salesAcc","movieCd","salesAmt","salesShare","salesInten","salesChange","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt","genreNm","dir_peopleNm","act_peopleNm1","act_peopleNm2","watchGradeNm"
#살아있다,15941172920,20193069,5425400,0.1,2294800,73.3,1515,713,88.9,1898890,50,61,드라마,조일형,유아인,박신혜,"15세이상관람가"
#아이엠히어,69992350,20197277,33029280,10.3,15286140,86.2,3879,1689,77.1,8512,432,780,멜로/로맨스,에릭 라티고,알랭 샤바,배두나,"12세이상관람가"
"0.0MHz",658800680,20188144,220796140,1.5,87998700,66.3,25945,11024,73.9,85289,409,673,공포(호러),유선동,정은지,이성열,"15세이상관람가"
"007 노 타임 투 다이",11931246100,20191061,17001150,2.1,-25392970,-59.9,1691,-2648,-61,1220536,212,278,액션,캐리 후쿠나가,다니엘 크레이그,라미 말렉,"12세이상관람가"
"007 스카이폴",17396110500,20113461,31301500,1.5,3655500,13.2,4597,409,9.8,2363508,100,225,액션,샘 멘데스,다니엘 크레이그,하비에르 바르뎀,"15세이상관람가"
"007 스펙터",14076319930,20157432,41808600,2,-15700700,-27.3,5911,-1944,-24.7,1791902,200,355,액션,샘 멘데스,다니엘 크레이그,레아 세이두,"15세이상관람가"
"12 솔져스",1694056000,20178395,113542600,2.2,-10401000,-8.4,13112,-1175,-8.2,205651,197,465,액션,니콜라이 퓰시,크리스 헴스워스,마이클 섀넌,"15세이상관람가"
"13시간",788228314,20161630,252720100,3.9,-41115458,-14,30916,-4742,-13.3,96884,380,971,액션,마이클 베이,존 크래신스키,파블로 쉬레이버,"15세이상관람가"
"1917",7774869060,20192399,7043740,3.8,-20317640,-74.3,853,-2106,-71.2,859668,172,222,드라마,샘 멘데스,조지 맥케이,딘-찰스 채프먼,"15세이상관람가"
"1919 유관순",14921000,20197483,12971000,0.7,12971000,100,1465,1465,100,1660,7,7,다큐멘터리,신상민,이새봄,양윤희,"12세이상관람가"
"1984 최동원",24320840,20201876,16206840,1.1,16165840,39428.9,1961,1956,39120,2854,172,316,다큐멘터리,조은성,최동원,조진웅,전체관람가
"1987",57866398045,20170590,58442600,3.5,-4535100,-7.2,7861,-551,-6.6,7191677,417,707,드라마,장준환,안대겸,김윤석,"15세이상관람가"
"19곰 테드",1974952793,20129166,13218000,0.8,-18500500,-58.3,1813,-2101,-53.7,258662,77,163,코미디,세스 맥팔레인,마크 월버그,밀라 쿠니스,청소년관람불가
"19곰 테드 2",1287842900,20156749,28590600,1.1,-26367000,-48,3677,-2649,-41.9,159480,92,186,코미디,세스 맥팔레인,마크 월버그,세스 맥팔레인,청소년관람불가
"1급기밀",611942400,20168161,192769600,5.3,28011100,17,22959,1048,4.8,78168,474,1417,드라마,홍기선,김상경,김옥빈,"12세이상관람가"
"21 브릿지: 테러 셧다운 ",918573730,20191408,6766000,0.8,4640000,218.3,967,673,228.9,119222,11,12,스릴러,브라이언 커크,채드윅 보스만,J.K. 시몬스,"15세이상관람가"
"23 아이덴티티",13182732635,20170241,243145400,3.9,140627200,137.2,28415,16507,138.6,1623724,400,993,스릴러,M. 나이트 샤말란,제임스 맥어보이,안야 테일러 조이,"15세이상관람가"
"26년",20032401645,20088506,192846500,5.1,44531500,30,27188,5318,24.3,2791622,293,863,액션,조근현,진구,한혜진,"15세이상관람가"
"300: 제국의 부활",13375782400,20147247,13975500,1.1,-3941500,-22,1899,-569,-23.1,1590565,204,375,액션,노암 머로,레나 헤디,에바 그린,청소년관람불가
"33",283715700,20162245,16974500,1.5,-26703000,-61.1,2343,-2943,-55.7,36601,278,570,드라마,패트리시아 리건,안토니오 반데라스,로드리고 산토로,"12세이상관람가"
"355",149061520,20212836,40565400,5.8,-7008890,-14.7,4315,-1213,-21.9,16903,486,1204,액션,사이먼 킨버그,제시카 차스테인,다이앤 크루거,"15세이상관람가"
"45년 후",135522100,20158888,5425000,0.2,-3221600,-37.3,775,-262,-25.3,17184,33,49,드라마,앤드류 헤이,샬롯 램플링,톰 커트니,"15세이상관람가"
"47 미터",4671184757,20177181,54030100,0.9,-3557300,-6.2,7384,-376,-4.8,588045,323,473,스릴러,요하네스 로버츠,맨디 무어,클레어 홀트,"15세이상관람가"
"47미터 2",3843111153,20193665,1636000,0,-1268000,-43.7,1591,-1027,-39.2,501065,5,14,공포(호러),요하네스 로버츠,소피 넬리스,코린 폭스,"15세이상관람가"
"500일의 썸머",2345098030,20090683,2521740,0.4,-150790,-5.6,284,-33,-10.4,295712,76,90,드라마,마크 웹,조셉 고든 레빗,주이 디샤넬,"15세이상관람가"
"50가지 그림자: 심연",1513938000,20161141,28232400,1.2,-358900,-1.3,3556,-68,-1.9,180531,101,188,드라마,제임스 폴리,제이미 도넌,다코타 존슨,청소년관람불가
"50가지 그림자: 해방",1135849400,20180542,109711100,5.2,-135478800,-55.3,13680,-12647,-48,130272,198,902,드라마,제임스 폴리,다코타 존슨,제이미 도넌,청소년관람불가
"577 프로젝트",668867500,20128271,5871000,0.4,-563500,-8.8,859,-57,-6.2,92152,38,72,코미디,이근우,하정우,공효진,"15세이상관람가"
"5백만불의 사나이",712474000,20124058,72290500,2.4,1672000,2.4,10739,325,3.1,100947,316,974,코미디,김익로,박진영,조성하,"15세이상관람가"
"7년의 밤",3930732524,20154908,18855300,1.2,-1488500,-7.3,2456,-329,-11.8,521564,309,499,스릴러,추창민,류승룡,장동건,"15세이상관람가"
"7번방의 선물",91213008170,20127593,88945000,1.7,61173500,220.3,12490,8398,205.2,12774842,126,322,코미디,이환경,류승룡,박신혜,"15세이상관람가"
"7번째 내가 죽던 날",69033500,20174803,30172500,1.1,114500,0.4,4125,-687,-14.3,10076,230,421,드라마,라이 루소 영,조이 도이치,할스톤 세이지,"15세이상관람가"
"7번째 아들",648885451,20142561,53054200,2,-69997000,-56.9,7055,-8167,-53.7,81797,335,929,어드벤처,세르게이 보드로프,제프 브리지스,줄리안 무어,"12세이상관람가"
"7호실",2581916639,20168754,58117900,0.9,7229050,14.2,7325,911,14.2,334220,291,543,코미디,이용승,신하균,도경수,"15세이상관람가"
"82년생 김지영",30203363050,20191029,35917580,0.3,-3012160,-7.7,4111,-349,-7.8,3665813,117,146,드라마,김도영,이시영,정유미,"12세이상관람가"
B컷,17091700,20223722,5760500,0.8,737800,14.7,786,56,7.7,2396,82,157,범죄,김진영,김동완,전세현,청소년관람불가
F20,38720000,20210168,34471000,5.4,34471000,100,5422,5422,100,6029,218,356,스릴러,홍은미,장영남,김정영,"15세이상관람가"
I AM,188393000,20113553,11684500,0.3,5153500,78.9,1575,659,71.9,25256,90,108,다큐멘터리,최진성,정윤호,심창민,전체관람가
PMC: 더 벙커,13883834094,20170658,33563400,0.9,5341150,18.9,3601,316,9.6,1655273,268,399,액션,김병우,하정우,이선균,"15세이상관람가"
R.I.P.D. : 알.아이.피.디.,594130071,20138421,56783500,2.1,-98979000,-63.5,8252,-12923,-61,82453,250,738,액션,로베르트 슈벤트케,라이언 레이놀즈,제프 브리지스,"15세이상관람가"
R2B: 리턴투베이스,8525038871,20124049,12258500,0.5,-3940000,-24.3,1905,-555,-22.6,1190556,59,140,액션,김동원,정지훈,유준상,"15세이상관람가"
가디언즈,7029419000,20126407,568827000,8.8,44921500,8.6,80380,4675,6.2,899670,361,861,애니메이션,피터 램지,크리스 파인,알렉 볼드윈,전체관람가
가디언즈 오브 갤럭시,11156715384,20149317,35160900,1.6,11845600,50.8,3941,1053,36.5,1318019,72,195,액션,제임스 건,크리스 프랫,조 샐다나,"12세이상관람가"
가디언즈 오브 갤럭시 VOL. 2,23205194686,20163603,43176800,1.1,14610000,51.1,5146,1292,33.5,2705205,168,259,액션,제임스 건,크리스 프랫,조 샐다나,"12세이상관람가"
가려진 시간,3661668400,20154905,144523403,2,56804073,64.8,17192,6213,56.6,473263,413,877,드라마,엄태화,강동원,배영한,"12세이상관람가"
가문의 영광5 - 가문의 귀환,8138786500,20128687,143701000,2,-6703000,-4.5,19321,-866,-4.3,1133197,195,658,코미디,정용기,조성현,정준호,"15세이상관람가"
가버나움,761360216,20184896,18120730,0.6,-27035620,-59.9,2292,-2943,-56.2,90079,68,136,드라마,나딘 라바키,자인 알 라피아,요르다노스 시프로우,"15세이상관람가"
가비,1963847000,20111774,3793500,0.3,389500,11.4,612,-34,-5.3,269841,43,86,드라마,장윤현,주진모,김소연,"15세이상관람가"
가시,935665600,20134585,37685800,3.3,-33030100,-46.7,5299,-4729,-47.2,121292,244,680,멜로/로맨스,김태균,장혁,조보아,청소년관람불가
가장 보통의 연애,24859405410,20195920,11291400,0.5,-14530000,-56.3,1771,-2151,-54.8,2920307,156,235,멜로/로맨스,김한결,김래원,공효진,"15세이상관람가"
간기남,9352513000,20124032,15870500,1,-2376000,-13,2183,-346,-13.7,1245659,73,182,코미디,김형준,박희순,박시연,청소년관람불가
간신,8829601210,20142402,45870200,2.6,-1094200,-2.3,6061,-157,-2.5,1095035,252,608,사극,민규동,이채민,주지훈,청소년관람불가
간첩,9295713500,20124400,12810500,0.8,-146000,-1.1,2013,47,2.4,1307662,93,211,드라마,우민호,김명민,염정아,"15세이상관람가"
감기,21765769500,20124937,9313000,0.3,-9916000,-51.6,1524,-1416,-48.2,3116112,79,162,드라마,김성수,장혁,수애,"15세이상관람가"
감시자들,39327312679,20122783,35684500,0.4,-10642500,-23,4858,-1463,-23.1,5500389,90,163,범죄,조의석,설경구,서지원,"15세이상관람가"
감쪽같은 그녀,3401255350,20188462,99468700,4.9,-94092940,-48.6,13709,-9618,-41.2,441473,548,1069,드라마,허인무,나문희,김수안,전체관람가
갓 오브 이집트,7502726024,20159162,43043300,4.5,-166276600,-79.4,5711,-19799,-77.6,904260,332,878,어드벤처,알렉스 프로야스,제라드 버틀러,니콜라이 코스터 왈도,"12세이상관람가"
강남 1970,17570931899,20136888,41669600,1.6,-35662100,-46.1,5559,-3754,-40.3,2172480,194,395,액션,유하,이민호,김래원,청소년관람불가
강릉,3097196490,20203286,13382610,0.8,2753310,25.9,1318,217,19.7,298813,163,207,범죄,윤영빈,유오성,장혁,청소년관람불가
강철대오:구국의 철가방,1564115656,20124070,6720000,0.2,-15381500,-69.6,998,-2284,-69.6,225761,68,130,코미디,육상효,김인권,유다인,"15세이상관람가"
강철비,35439102866,20170402,32225100,1,-4095000,-11.3,4348,-460,-9.6,4445387,180,289,액션,양우석,정우성,곽도원,"15세이상관람가"
강철비2: 정상회담,14650453110,20196271,5834000,0.4,3033000,108.3,2877,1494,108,1788468,9,16,드라마,양우석,정우성,유연석,"15세이상관람가"
개구리왕국 2,72761500,20170382,30011900,0.4,1390300,4.9,4023,124,3.2,10176,171,197,애니메이션,펭 페이,사문영,이경태,전체관람가
개구쟁이 스머프 2,5809315000,20136761,38213500,1.2,-5117500,-11.8,6402,-816,-11.3,892208,181,272,애니메이션,라자 고스넬,박명수,닐 패트릭 해리스,전체관람가
개들의 섬,157819300,20182001,13540100,0.7,-966400,-6.7,1640,-124,-7,18118,109,203,코미디,웨스 앤더슨,브라이언 크랜스톤,스칼렛 요한슨,"12세이상관람가"
개를 훔치는 완벽한 방법,1362168965,20130574,90401600,2.4,10986200,13.8,12506,1686,15.6,179136,193,599,드라마,김성호,김혜자,이레,전체관람가
갤로우즈,512797906,20152869,118452800,1.5,-52533073,-30.7,15231,-6930,-31.3,66033,291,562,공포(호러),트래비스 클러프,캐시디 지포드,파이퍼 브라운,"15세이상관람가"
거미줄에 걸린 소녀,158843150,20183007,45669100,0.5,6660200,17.1,5257,568,12.1,20347,274,404,액션,페드 알바레즈,클레어 포이,실비아 획스,"15세이상관람가"
거울나라의 앨리스,4097454767,20162968,25342400,2.1,-75873100,-75,3410,-9030,-72.6,506208,219,429,어드벤처,제임스 보빈,조니 뎁,앤 해서웨이,"12세이상관람가"
건즈 아킴보,192883000,20206021,9402500,6.7,-1824000,-16.2,1153,-225,-16.3,21899,147,329,액션,제이슨 레이 하우덴,다니엘 래드클리프,사마라 위빙,청소년관람불가
건축학개론,30153674000,20124074,19428500,0.2,3124000,19.2,2689,575,27.2,4101671,24,48,멜로/로맨스,이용주,엄태웅,한가인,"12세이상관람가"
건파우더 밀크셰이크,225483280,20219185,44085910,1.7,5064420,13,4464,445,11.1,26299,471,1043,액션,나봇 파푸샤도,카렌 길런,레나 헤디,청소년관람불가
걷기왕,571347875,20151022,13579000,0.3,-19245800,-58.6,2102,-2630,-55.6,74530,146,202,드라마,백승화,심은경,박주희,"12세이상관람가"
걸 온 더 트레인,122971700,20170761,48856300,0.8,11639100,31.3,5758,1262,28.1,15650,306,545,드라마,테이트 테일러,에밀리 블런트,해일리 베넷,청소년관람불가
걸캅스,13711676634,20184082,36020220,0.3,4075210,12.8,4258,413,10.7,1614840,164,215,코미디,정다원,라미란,이성경,"15세이상관람가"
검객,1530453980,20178401,16596510,2.3,-2680700,-13.9,2035,-328,-13.9,178549,358,542,액션,최재훈,장혁,김현수,"15세이상관람가"
검사외전,76993070464,20145507,193410400,3,-21218400,-9.9,22728,-2491,-9.9,9664799,312,624,범죄,이일형,황정민,강동원,"15세이상관람가"
검은 사제들,42332120692,20145503,43640600,1.3,-87859800,-66.8,5855,-12705,-68.5,5432182,181,412,미스터리,장재현,김윤석,강동원,"15세이상관람가"
검은손,18300000,20157986,15366000,1.1,15366000,100,2126,2126,100,2452,178,428,공포(호러),박재식,김성수,한고은,청소년관람불가
게이트,710168900,20189663,40778800,2.7,-6168800,-13.1,5145,-830,-13.9,86552,184,515,범죄,신재호,정려원,임창정,"15세이상관람가"
겟 아웃,17265191175,20175262,13489900,0.5,5043900,59.7,1568,478,43.9,2116245,62,104,공포(호러),조던 필,다니엘 칼루야,앨리슨 윌리암스,"15세이상관람가"
겨울왕국,82215287000,20136803,150639700,3.3,10537800,7.5,19413,1317,7.3,10263623,286,586,애니메이션,크리스 벅,이디나 멘젤,크리스틴 벨,전체관람가
겨울왕국 2,114638472870,20197803,25480840,1.7,5747400,29.1,3176,692,27.9,13726850,210,277,애니메이션,크리스 벅,크리스틴 벨,이디나 멘젤,전체관람가
결백,7721317340,20183813,32000000,4.6,4469000,16.2,4000,500,14.3,875853,14,37,드라마,박상현,신혜선,배종옥,"15세이상관람가"
결혼 이야기,77481800,20198962,19537320,0.2,-2725880,-12.2,2298,-208,-8.3,9615,83,112,멜로/로맨스,노아 바움백,스칼렛 요한슨,아담 드라이버,"15세이상관람가"
결혼전야,8340744719,20136061,36908000,1.7,-42698000,-53.6,5678,-5214,-47.9,1197142,182,429,멜로/로맨스,홍지영,김강우,김효진,"15세이상관람가"
경관의 피,6714012120,20199882,6981200,0.5,206200,3,867,-5,-0.6,681379,83,103,범죄,이규만,조진웅,최우식,"15세이상관람가"
경성학교: 사라진 소녀들,2732773200,20141224,22032500,0.8,-3194400,-12.7,2911,-556,-16,354119,214,398,미스터리,이해영,박보영,엄지원,"15세이상관람가"
경아의 딸,46625600,20212392,5206500,0.1,5027700,2811.9,1023,997,3834.6,6619,8,9,드라마,김정은,김정영,하윤경,"15세이상관람가"
경주,324853200,20133641,31561400,2,-28125700,-47.1,4417,-3063,-40.9,42736,279,712,드라마,장률,박해일,신민아,"15세이상관람가"
계춘할망,3160376148,20156559,36719000,1,-71758600,-66.2,5402,-10148,-65.3,418734,241,392,가족,창,윤여정,김고은,"15세이상관람가"
고고다이노 극장판: 얼음공룡의 비밀,39662899,20226739,16914900,1.4,-1585099,-8.6,2060,-60,-2.8,4638,287,319,애니메이션,이선명,이민규,전태열,전체관람가
고녀석 맛나겠다2 : 함께라서 행복해,349962000,20140241,12700500,0.2,4195800,49.3,1879,727,63.1,50110,29,36,애니메이션,최경석,엄상현,시영준,전체관람가
고령화 가족,7903924653,20120426,129269000,2.4,-24121000,-15.7,17582,-3047,-14.8,1100415,254,725,드라마,송해성,우혜진,박해일,"15세이상관람가"
고백,209092400,20198663,5903800,0.3,-276800,-4.5,768,-240,-23.8,29515,138,158,드라마,서은영,박하선,하윤경,"15세이상관람가"
"고산자, 대동여지도",7682689758,20159648,45365700,3.8,-111131500,-71,6570,-12477,-65.5,956133,356,903,사극,강우석,김율호,차승원,전체관람가
고스트 라이더 : 복수의 화신,740786500,20113890,57857000,2.9,-4081000,-6.6,7682,-568,-6.9,95718,259,1026,액션,마크 네빌딘,니콜라스 케이지,이드리스 엘바,"15세이상관람가"
고스트 오브 워,49382160,20202961,11160960,0.9,-849210,-7.1,1250,-97,-7.2,5754,221,272,미스터리,에릭 브레스,브렌튼 스웨이츠,스카이라 애스틴,"15세이상관람가"
고스트버스터즈,3970458775,20162404,69111000,5.9,-5230400,-7,9360,-618,-6.2,498808,408,1179,액션,폴 페이그,멜리사 맥카시,크리스 헴스워스,"12세이상관람가"
고스트버스터즈 라이즈,987272100,20196763,49855020,3.1,25407700,103.9,6147,3403,124,104559,476,749,어드벤처,제이슨 라이트맨,핀 울프하드,맥케나 그레이스,"12세이상관람가"
고양이 여행 리포트,48862210,20199623,11701630,0.2,4709730,67.4,1349,550,68.8,5958,67,109,드라마,미키 코이치로,후쿠시 소타,타카하타 미츠키,전체관람가
고장난 론,1378250240,20210865,7065000,0.8,3584960,103,1004,555,123.6,152171,66,76,애니메이션,사라 스미스,자크 갈리피아나키스,잭 딜런 그레이져,전체관람가
고질라,5875184263,20147874,46926100,2.3,-232834900,-83.2,5570,-27668,-83.2,697589,287,855,액션,가렛 에드워즈,애론 테일러 존슨,브라이언 크랜스톤,"12세이상관람가"
고질라 VS. 콩,6727474690,20215850,5236700,1.3,-20696950,-79.8,548,-2094,-79.3,698632,166,190,액션,아담 윈가드,알렉산더 스카스가드,밀리 바비 브라운,"12세이상관람가"
고질라: 킹 오브 몬스터,2927523038,20184865,49272980,0.4,11040110,28.9,6428,1717,36.4,339162,131,159,액션,마이클 도허티,밀리 바비 브라운,베라 파미가,"12세이상관람가"
곡성,55392006182,20140194,84086300,3.5,3710500,4.6,11110,534,5,6822440,304,530,미스터리,나홍진,곽도원,황정민,"15세이상관람가"
곤지암,21175749044,20180804,193444900,5,96895300,100.4,21697,10927,101.5,2645124,427,961,공포(호러),정범식,위하준,박지현,"15세이상관람가"
골든슬럼버,11139094998,20168250,161209400,7.6,-321357000,-66.6,21702,-35237,-61.9,1349294,592,2212,범죄,노동석,강동원,김의성,"15세이상관람가"
곰돌이 푸 다시 만나 행복해,3965884260,20189123,16309800,0.5,2596950,18.9,2200,205,10.3,474910,89,120,어드벤처,마크 포스터,이완 맥그리거,헤일리 앳웰,전체관람가
공각기동대 : 고스트 인 더 쉘,6176547384,20163194,54814700,5,-4559800,-7.7,7082,-546,-7.2,750046,438,1171,SF,루퍼트 샌더스,스칼렛 요한슨,마이클 피트,"15세이상관람가"
공기살인,1346145980,20204845,106222840,4.9,-21192650,-16.6,10440,-2176,-17.2,143713,609,1188,드라마,조용선,서지환,김상경,"12세이상관람가"
공모자들,12165114000,20124063,38146500,2.2,-895500,-2.3,5444,-130,-2.3,1635384,203,516,범죄,김홍선,임창정,최다니엘,청소년관람불가
공범,12162759382,20129606,70151500,1.1,29005000,70.5,10470,3892,59.2,1737686,180,423,스릴러,국동석,손예진,김갑수,"15세이상관람가"
공범자들,1887783900,20179187,18378700,0.9,-27263200,-59.7,2586,-2928,-53.1,239916,160,246,다큐멘터리,최승호,이명박,김재철,"15세이상관람가"
공작,42677047776,20179101,37874050,2.8,4411150,13.2,5328,997,23,4959244,387,686,드라마,윤종빈,황정민,이성민,"12세이상관람가"
공조,63621717026,20151228,163037900,2.4,-11407600,-6.5,19474,-1198,-5.8,7796328,336,545,액션,김성훈,이재남,현빈,"15세이상관람가"
공조2: 인터내셔날,70466873364,20215601,43401090,3.1,-35789596,-45.2,5695,-3939,-40.9,6919304,428,717,액션,이석훈,현빈,유해진,"15세이상관람가"
공포의 묘지,267712520,20197423,105640250,7.2,-50953020,-32.5,12690,-6215,-32.9,32202,529,1655,공포(호러),케빈 콜쉬,제이슨 클락,존 리스고,"15세이상관람가"
관능의 법칙,5605814400,20130561,30627200,1.5,-28149800,-47.9,4237,-3939,-48.2,749130,146,257,드라마,권칠인,엄정화,문소리,청소년관람불가
관상,65822173500,20126091,26359500,1.5,-40766500,-60.7,4070,-5200,-56.1,9106936,127,296,사극,한재림,송강호,이정재,"15세이상관람가"
광대들: 풍문조작단,4927871718,20185985,162152810,2.9,-15304550,-8.6,19566,-1683,-7.9,597425,462,811,사극,김주호,조진웅,손현주,"12세이상관람가"
"광해, 왕이 된 남자",88728261769,20124079,21065500,0.6,6097500,40.7,3680,1167,46.4,12291293,52,120,사극,추창민,이병헌,류승룡,"15세이상관람가"
괴기맨숀,270436800,20218345,18929800,0.4,-1999600,-9.6,1816,-135,-6.9,26682,62,91,공포(호러),조바른,성준,김홍파,"15세이상관람가"
괴물의 아이,1290028816,20157175,113150100,2,-1836400,-1.6,14637,-356,-2.4,173321,197,314,애니메이션,호소다 마모루,야쿠쇼 코지,미야자키 아오이,"12세이상관람가"
교회오빠,512607320,20198597,20487930,0.1,6179030,43.2,2372,669,39.3,61958,65,86,다큐멘터리,이호경,이관희,오은주,전체관람가
구스 베이비,76072950,20182044,62236950,2.3,60424950,3334.7,9482,9280,4594.1,11020,391,627,애니메이션,크리스토퍼 젠킨스,전현무,유아,전체관람가
구스범스,2215540712,20157158,40148900,2.5,4125500,11.5,5636,633,12.7,296542,230,430,액션,롭 레터맨,잭 블랙,딜런 미네트,"12세이상관람가"
구스범스: 몬스터의 역습,175567500,20182693,65170600,0.8,-299200,-0.5,7960,-76,-0.9,21400,167,425,판타지,아리 산델,잭 블랙,켄 정,"12세이상관람가"
국가대표 2,5025995742,20150968,200240500,2,-12968100,-6.1,25317,-1930,-7.1,645363,325,554,드라마,김종현,수애,오달수,"12세이상관람가"
국가부도의 날,30428268587,20177552,87576800,1.7,13159600,17.7,10857,680,6.7,3697204,285,415,드라마,최국희,김혜수,유아인,"12세이상관람가"
국제수사,4439101400,20184482,8975310,1.2,3564440,65.9,1017,342,50.7,529846,183,232,코미디,김봉한,곽도원,김대명,"15세이상관람가"
국제시장,110818803230,20137048,16804700,1.2,-1449800,-7.9,2352,-278,-10.6,14241429,138,223,드라마,윤제균,황정민,김윤진,"12세이상관람가"
군도: 민란의 시대,36826412599,20123501,82440500,1.2,-73859400,-47.3,11236,-8915,-44.2,4752517,221,446,사극,윤종빈,하정우,강동원,"15세이상관람가"
군함도,50329125068,20161481,37418600,1,-20748900,-35.7,5576,-1578,-22.1,6559996,174,244,액션,류승완,황정민,김규백,"15세이상관람가"
굿 라이어,99596300,20190142,28050480,0.7,-2889340,-9.3,3412,-611,-15.2,12055,303,535,스릴러,빌 콘돈,헬렌 미렌,짐 카터,"15세이상관람가"
굿모닝 맨하탄,183854500,20147301,17165000,0.6,2092500,13.9,2519,332,15.2,25436,95,210,코미디,가우리 신드,스리데비,아딜 후세인,전체관람가
굿바이 싱글,16811383895,20150972,22571900,0.4,-3263000,-12.6,3172,-428,-11.9,2095320,134,242,코미디,김태곤,김혜수,마동석,"15세이상관람가"
궁합,10288311138,20150969,34241000,1.4,-2325600,-6.4,4401,-802,-15.4,1314321,321,565,코미디,홍창표,송영재,심은경,"12세이상관람가"
귀멸의 칼날: 나타구모산 편,290458520,20211261,59590540,2,-25735690,-30.2,5918,-2634,-30.8,29653,299,560,애니메이션,소토자키 하루오,하나에 나츠키,키토 아카리,"15세이상관람가"
귀멸의 칼날: 남매의 연,597668430,20210301,17373310,0.6,-1526430,-8.1,1801,-135,-7,60315,228,265,애니메이션,소토자키 하루오,하나에 나츠키,키토 아카리,"15세이상관람가"
귀멸의 칼날: 주합회의·나비저택 편,48134000,20211271,48134000,3.6,48134000,100,5234,5234,100,5234,227,552,애니메이션,소토자키 하루오,하나에 나츠키,키토 아카리,"15세이상관람가"
귀못,137720800,20227225,40356100,2.7,6510800,19.2,4519,558,14.1,16763,204,550,공포(호러),탁세웅,박하나,허진,"15세이상관람가"
귀문,781400370,20218653,6820100,0.7,-8814350,-56.4,1026,-822,-44.5,90721,117,126,미스터리,심덕근,김강우,김소혜,"15세이상관람가"
귀향,27062479590,20161364,29975500,1.8,2596900,9.5,4182,240,6.1,3561562,205,340,드라마,조정래,손숙,강하나,"15세이상관람가"
그 사람 그 사랑 그 세상,24901000,20143081,11696500,0.3,3776000,47.7,1651,510,44.7,3634,52,61,다큐멘터리,권혁만,강석우,최강희,전체관람가
"그 시절, 우리가 좋아했던 소녀",185459000,20128588,15779000,0.6,3432000,27.8,2268,496,28,26632,61,142,멜로/로맨스,구파도,가진동,첸옌시,"15세이상관람가"
그 후,90697908,20176102,9949400,0.4,1168400,13.3,1431,185,14.8,11855,138,229,드라마,홍상수,권해효,김민희,청소년관람불가
그것,6951966807,20179696,31291300,2,-38689500,-55.3,3979,-5169,-56.5,842341,220,381,공포(호러),안드레스 무시에티,오웬 티그,빌 스카스가드,"15세이상관람가"
그것: 두 번째 이야기,5022151017,20192804,50965070,0.9,25875350,103.1,5776,2935,103.3,580837,109,177,스릴러,안드레스 무시에티,제임스 맥어보이,제시카 차스테인,"15세이상관람가"
그것만이 내 세상,27242195882,20176104,37822800,1.6,-7682900,-16.9,5558,-1065,-16.1,3388214,321,521,코미디,최성현,이병헌,윤여정,"12세이상관람가"
"그날, 바다",4370190800,20182352,9625100,0.4,1035200,12.1,1236,134,12.2,530523,119,180,다큐멘터리,김지영,정우성,이주용,"15세이상관람가"
그날의 분위기,5107273112,20068576,20780500,1.3,-29832000,-58.9,2750,-3567,-56.5,647572,116,255,멜로/로맨스,조규장,김정희,문채원,"15세이상관람가"
그녀,2747342900,20148748,20252500,0.2,10079500,99.1,2322,1125,94,336988,20,48,드라마,스파이크 존즈,호아킨 피닉스,스칼렛 요한슨,청소년관람불가
그놈이다,8025691052,20157465,31066100,1.6,-60045100,-65.9,4300,-7471,-63.5,1035796,234,506,스릴러,윤준형,주원,유해진,"15세이상관람가"
그대 이름은 장미,652094470,20166602,42147650,2,-53367550,-55.9,5300,-5869,-52.5,77078,447,797,코미디,조석현,유호정,박성웅,"12세이상관람가"
"그래, 가족",315758800,20161366,29756400,1.3,6340800,27.1,4172,895,27.3,41732,326,675,코미디,마대윤,송영재,이요원,"12세이상관람가"
그래비티,32324871590,20139221,37503990,5.9,37503990,100,4149,4149,100,3284309,143,395,SF,알폰소 쿠아론,산드라 블록,조지 클루니,"12세이상관람가"
그랜드 부다페스트 호텔,6226193132,20147727,11922800,0.8,-873400,-6.8,1454,-44,-2.9,797767,38,142,미스터리,웨스 앤더슨,랄프 파인즈,틸다 스윈튼,청소년관람불가
그랜드 피아노,118637000,20148208,24503500,2.7,16335500,200,3478,2492,252.7,16618,95,164,스릴러,유지니오 미라,일라이저 우드,존 쿠삭,"15세이상관람가"
그렇게 아버지가 된다,85053500,20133704,32045500,0.4,13388500,71.8,4025,1622,67.5,11283,41,94,드라마,고레에다 히로카즈,후쿠야마 마사하루,오노 마치코,전체관람가
그레이 맨,112462600,20224791,48570300,0.7,20664500,74.1,5064,2246,79.7,11735,212,358,액션,안소니 루소,라이언 고슬링,크리스 에반스,"15세이상관람가"
그레이브 인카운터,222721000,20127630,30577500,0.6,-9188000,-23.1,4396,-1009,-18.7,31247,60,171,공포(호러),더 비셔우스 브라더스,숀 로저슨,주안 리딩거,"15세이상관람가"
그레이스 오브 모나코,1609403800,20148877,24002000,0.3,-2180500,-8.3,3077,-273,-8.1,216761,59,94,드라마,올리비에 다한,니콜 키드먼,팀 로스,"12세이상관람가"
그레이의 50가지 그림자,2861081396,20147613,37082300,2.6,2124100,6.1,4836,243,5.3,357499,257,549,드라마,샘 테일러-존슨,제이미 도넌,다코타 존슨,청소년관람불가
