"movieNm","salesAcc","movieCd","salesAmt","salesShare","salesInten","salesChange","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt","genreNm","dir_peopleNm","act_peopleNm1","act_peopleNm2","watchGradeNm"
이스케이프 플랜,1962099679,20135370,77561000,3.6,-83826500,-51.9,11211,-10045,-47.3,272258,220,599,액션,미카엘 하프스트롬,실베스터 스탤론,아놀드 슈왈제네거,청소년관람불가
이웃사람,18056505869,20125920,28218500,1.4,-5082500,-15.3,4009,-762,-16,2429905,209,506,스릴러,김휘,김윤진,마동석,청소년관람불가
이웃사촌,3656353560,20181983,8455600,1.6,-1000,0,981,-82,-7.7,425745,143,168,드라마,이환경,정우,오달수,"12세이상관람가"
이웃집 토토로,1167697530,19880001,93062220,1.2,317280,0.3,11189,97,0.9,142372,295,401,애니메이션,미야자키 하야오,히다카 노리코,사카모토 치카,전체관람가
이웃집에 신이 산다,179281900,20158885,55727200,0.5,-8465900,-13.2,6598,-862,-11.6,21542,66,135,코미디,자코 반 도마엘,브누와 뽀엘부르드,욜랭드 모로,청소년관람불가
이퀄스,493229800,20167563,33352400,2.9,-1438700,-4.1,4547,-189,-4,65549,331,752,드라마,드레이크 도리머스,니콜라스 홀트,크리스틴 스튜어트,"15세이상관람가"
이터널 선샤인,3159675400,20050082,40527600,2,14675300,56.8,5645,2282,67.9,420475,88,189,멜로/로맨스,미셸 공드리,짐 캐리,케이트 윈슬렛,"15세관람가"
이터널스,31650307470,20218256,43447880,2.7,21815590,100.8,4049,1975,95.2,3042095,374,507,액션,클로이 자오,안젤리나 졸리,마동석,"12세이상관람가"
이프 온리,6282535300,20040695,62265700,3.6,2020400,3.4,8226,180,2.2,956904,155,635,코미디,길 정거,제니퍼 러브 휴잇,폴 니콜스,"15세관람가"
익스트림 No.13,62825516,20129227,13950000,0.3,-2327513,-14.3,1816,-333,-15.5,8670,100,240,스릴러,겔라 바블루아니,제이슨 스타뎀,알렉산더 스카스가드,청소년관람불가
익스펜더블 2,3171314228,20128143,19089000,0.3,8763000,84.9,2553,1079,73.2,439132,80,155,액션,사이먼 웨스트,실베스터 스탤론,브루스 윌리스,"15세이상관람가"
익스펜더블 3,1060034100,20149818,72273400,2.6,-11031100,-13.2,9884,-1556,-13.6,138284,300,867,액션,패트릭 휴즈,실베스터 스탤론,제이슨 스타뎀,"15세이상관람가"
인 더 하이츠,444114180,20204790,24567760,2.4,2724170,12.5,2551,366,16.8,48227,430,730,뮤지컬,존 추,안소니 라모스,멜리사 바레라,"12세이상관람가"
인간중독,11241840000,20133322,22228400,1.1,-1446500,-6.1,3347,-138,-4,1435853,117,212,멜로/로맨스,김대우,송승헌,임지연,청소년관람불가
인디펜던스 데이 : 리써전스,12714412640,20150782,35162700,1.6,-54847100,-60.9,4667,-6188,-57,1493159,244,467,액션,롤랜드 에머리히,빌 풀만,리암 헴스워스,"12세이상관람가"
인랑,6966728073,20170942,13919500,0.2,-49720500,-78.1,1857,-4844,-72.3,893165,147,204,SF,김지운,강동원,김지아,"15세이상관람가"
인류멸망 보고서,628644000,20068590,15478500,0.8,4665000,43.1,2180,626,40.3,87453,142,386,SF,김지운,류승범,김강우,"15세이상관람가"
인민을 위해 복무하라,661816150,20208006,5352100,0.9,2917100,119.8,648,396,157.1,71279,74,81,멜로/로맨스,장철수,연우진,지안,청소년관람불가
인베이젼 2020,164155100,20208617,9615960,2.1,-27611320,-74.2,1225,-3053,-71.4,19768,273,394,SF,표도르 본다르추크,이리나 스타르셴바움,알렉산더 페트로브,"12세이상관람가"
인보카머스,489228800,20149931,44491200,1.6,-3403700,-7.1,5716,-437,-7.1,59136,185,387,공포(호러),스콧 데릭슨,에릭 바나,에드가 라미레즈,청소년관람불가
인비저블 게스트,656899100,20173945,52774100,0.6,6234700,13.4,6275,557,9.7,81574,103,178,범죄,오리올 파울로,마리오 카사스,안나 와게너,"15세이상관람가"
인사이드 르윈 ,240186000,20133585,70658500,0.5,23276000,49.1,8719,2910,50.1,30553,70,147,드라마,조엘 코엔,오스카 아이삭,캐리 멀리건,"15세이상관람가"
인사이드 아웃,37534363736,20151225,31257600,0.9,829100,2.7,4479,319,7.7,4905779,168,227,애니메이션,피트 닥터,다이안 레인,에이미 포엘러,전체관람가
인생은 아름다워,9565167435,20198317,105030389,7.5,-11660623,-10,13654,396,3,1020210,577,1107,뮤지컬,최국희,류승룡,염정아,"12세이상관람가"
인서전트,2115093889,20144461,19752800,1.1,-48771300,-71.2,2663,-5808,-68.6,276967,260,510,SF,로베르트 슈벤트케,쉐일린 우들리,테오 제임스,"15세이상관람가"
인셉션,44726739460,20100312,71923980,1.3,-7853070,-9.8,8143,-827,-9.2,5982902,167,322,드라마,크리스토퍼 놀란,레오나르도 디카프리오,엘렌 페이지,"12세이상관람가"
인시디어스,334261500,20127446,26710500,1.3,1990500,8.1,3901,349,9.8,46974,170,447,공포(호러),제임스 완,패트릭 윌슨,로즈 번,"15세이상관람가"
인시디어스 3,6193287520,20150741,138729400,1.2,-26448800,-16,17263,-3260,-15.9,798378,262,560,공포(호러),리 워넬,스테파니 스콧,더못 멀로니,"15세이상관람가"
인시디어스4: 라스트 키,4040932964,20178126,187006100,3.6,-32681300,-14.9,22120,-4063,-15.5,520410,453,902,공포(호러),애덤 로비텔,스펜서 로크,린 샤예,"15세이상관람가"
인시디어스: 두번째 집,3929948000,20135657,54177000,0.6,16240500,42.8,7770,2125,37.6,567488,70,172,공포(호러),제임스 완,로즈 번,패트릭 윌슨,"15세이상관람가"
인질,15541773970,20192194,6856500,1.1,5340030,352.1,1317,1098,501.4,1630396,32,36,액션,필감성,황정민,김재범,"15세이상관람가"
인천상륙작전,55062816503,20156250,31154500,2.7,-7070000,-18.5,4460,-964,-17.8,7043241,288,565,전쟁,이재한,김정철,이정재,"12세이상관람가"
인크레더블 2,24205938788,20183361,70196900,0.5,28199900,67.1,8809,3522,66.6,2988996,105,134,애니메이션,브래드 버드,크레이그 T. 넬슨,사무엘 L. 잭슨,전체관람가
인터스텔라,83072616000,20149120,27877000,3.5,-16061500,-36.6,1872,-1249,-40,10342523,20,50,SF,크리스토퍼 놀란,매튜 매커너히,앤 해서웨이,"12세이상관람가"
인턴,28359312148,20152022,22671900,1.2,-32077900,-58.6,3104,-3757,-54.8,3589083,105,187,코미디,낸시 마이어스,앤 해서웨이,로버트 드 니로,"12세이상관람가"
인투 더 스톰,16148608332,20149811,25714500,1.8,2259200,9.6,3523,205,6.2,2077544,191,434,액션,스티븐 쿼일,리차드 아미티지,사라 웨인 콜리스,"12세이상관람가"
